질의,포함핵심어,포함개수
대구 약령시 근처에 좋은 숙소 추천해줄 수 있어?,약령시,1
"공항철도를 이용할 계획인데, 그 주변에 추천할 만한 숙소가 있을까요?",공항철도,1
대이작도 근처에 숙박할 만한 좋은 곳이 있을까요?,대이작도,1
자갈치역 근처에 괜찮은 숙소 추천해 줄 수 있어?,자갈치역,1
부산 태종대 주변에 머물기 좋은 숙소 있을까요?,태종대,1
영흥면에서 머물기 좋은 숙소 추천해줄 수 있어?,영흥면,1
광주 우산동 주변에 괜찮은 숙소 있을까요?,우산동,1
부산 해운대 쪽에서 조선이라는 이름이 들어간 숙소 추천해줄 수 있어?,조선,1
서생포왜성 근처에 좋은 숙소가 있을까요?,서생포왜성,1
조선시대 관련 유적지 근처에 머물기 좋은 숙소가 있을까요?,조선시대,1
대구 국채보상로 주변에 있는 숙소 좀 추천해 줄 수 있어?,국채보상로,1
비슬산 근처에 머물기 좋은 숙소가 있을까요?,비슬산,1
"인천 남동구에 있는 호구포역 주변에서 괜찮은 숙소를 찾고 있는데, 추천해줄 만한 곳 있을까요?",호구포역,1
대구 수성구에서 편안하게 머물 수 있는 숙소 추천해줄 수 있어?,수성구,1
울산의 간절곶 근처에 좋은 숙소가 있을까요?,간절곶,1
대전에서 머물 만한 좋은 숙소 추천해 줄 수 있어?,대전,1
사상역 근처 홈플러스 주변에 머물기 좋은 숙소 추천해 줄 수 있어?,홈플러스,1
"영국에서 숙소 찾고 있는데, 추천해주실 만한 곳 있을까요?",영국,1
부산의 송정해수욕장 근처에 머물기 좋은 숙소가 있을까요?,송정해수욕장,1
인천 차이나타운 근처에 머물기 좋은 숙소 추천해 줄 수 있어?,차이나타운,1
소래포구 근처에 괜찮은 숙소 추천해 줄 수 있어?,소래포구,1
울산 배내 쪽에서 연인과 함께 머물기 좋은 숙소 추천해줄 수 있어?,배내,1
부산 백스코 근처에 머물기 좋은 숙소 추천해줄 수 있어?,백스코,1
남항대교 근처에 괜찮은 숙소가 있을까요?,남항대교,1
서면역 근처에 편리하고 깨끗한 숙소 추천해줄 수 있어?,서면역,1
스트란트 근처에 숙박할 만한 곳이 있을까요?,스트란트,1
부산관광공사 근처에 머물기 좋은 숙소 추천해줄 수 있어?,부산관광공사,1
선재도 주변에 추천할 만한 숙소가 있을까요?,선재도,1
북항대교 근처에 머물만한 숙소 추천해 줄 수 있어?,북항대교,1
광주 산수동 근처에 머물만한 숙소 추천해줄 수 있어?,산수동,1
광주 상무지구 주변에 좋은 숙소 추천해줄 수 있어?,상무지구,1
롯데 근처에 좋은 숙소가 있을까요?,롯데,1
다대포해수욕장 근처에 추천할 만한 숙소가 있을까요?,다대포해수욕장,1
신도에서 묵을 만한 괜찮은 숙소가 있을까요?,신도,1
인천공항 근처에 편하게 머물 수 있는 숙소 추천해 줄 수 있어?,인천공항,1
대구 이천동에 있는 괜찮은 숙소 추천해 줄 수 있어?,이천동,1
영흥대교 근처에 머물 만한 좋은 숙소 추천해 줄 수 있어?,영흥대교,1
영종도에서 괜찮은 숙소 추천해 줄 수 있어?,영종도,1
강화도의 초지대교 근처에 머물기 좋은 숙소가 있을까요?,초지대교,1
서해 근처에 머물만한 좋은 숙소가 있을까요?,서해,1
강화도에서 숭뢰리 근처에 위치한 좋은 숙소를 추천해 줄 수 있을까요?,숭뢰리,1
송도해수욕장 근처에 좋은 숙소 추천해주실 수 있나요?,송도해수욕장,1
중구에 있는 숙소 중에서 추천할 만한 곳 있나요?,중구,1
동대구역 근처에 머물기 좋은 숙소 추천해 줄 수 있어?,동대구역,1
백령도에서 연인과 함께 머물기 좋은 숙소가 있을까요?,백령도,1
"인천 여행 중인데, 월미산 근처에서 묵을 만한 숙소 어디가 좋을까요?",월미산,1
강화군 백련사 근처에 좋은 숙소가 있는지 추천해 줄 수 있을까요?,백련사,1
대구에서 숭현사 근처에 머물기 좋은 숙소가 있을까요?,숭현사,1
영주동 근처에서 묵을 만한 괜찮은 숙소 추천해 줄 수 있어?,영주동,1
한국에서 여행할 때 머물기 좋은 숙소 추천해 줄 수 있어?,한국,1
신라 근처에 괜찮은 숙소가 있을까요?,신라,1
아쿠아리움 근처에 가족이 머물기 좋은 숙소 있을까요?,아쿠아리움,1
인천 십정동 근처에 있는 좋은 숙소를 추천해줄 수 있을까요?,십정동,1
신세계 근처에 좋은 숙소가 있을까요?,신세계,1
신탄진역 근처에 괜찮은 숙소가 있을까요?,신탄진역,1
유성 지역에서 편안하게 머물 수 있는 숙소 추천해 줄 수 있어?,유성,1
부평 근처에 머물 만한 괜찮은 숙소 추천해 줄 수 있어?,부평,1
월미도 주변에서 연인과 함께 머물기 좋은 숙소 추천해줄 수 있어?,월미도,1
부산에서 영도다리 근처에 있는 좋은 숙소를 추천해 줄 수 있나요?,영도다리,1
내가면 근처에 머물기 좋은 숙소가 어디 있을까요?,내가면,1
무등산 근처에 좋은 숙소가 있을까요?,무등산,1
광주 송정동 근처에 괜찮은 숙소 추천해 줄 수 있어?,송정동,1
부산의 해운대 쪽에서 머물기에 좋은 숙소를 추천해 줄 수 있어?,"해운대, 부산",2
대전광역시에서 갑천 근처에 위치한 숙소 추천해줄 수 있어?,"대전광역시, 갑천",2
광주에서 운천역 주변에 괜찮은 숙소 추천해줄 수 있어?,"광주, 운천역",2
해운대에서 해운대해수욕장 가까운 숙소 추천해줄 수 있어?,"해운대해수욕장, 해운대",2
울산에 있는 통도사 근처에서 머물기 좋은 숙소가 있을까요?,"울산, 통도사",2
대구에 있는 동대구역 주변에 괜찮은 숙소 추천해 줄 수 있어?,"동대구역, 대구",2
"부산 여행 중인데, 남포동 근처에 추천할 만한 숙소 있을까요?","남포동, 부산",2
광주에 있는 광천동 근처에 괜찮은 숙소를 추천해 줄 수 있어?,"광주, 광천동",2
옹진군 영흥면에서 머물기 좋은 숙소를 추천해 줄 수 있어?,"영흥면, 옹진군",2
서울에서 롯데 근처에 좋은 숙소 추천해줄 수 있어?,"롯데, 서울",2
부산 서면 근처에 좋은 숙소가 있을까요?,"부산, 서면",2
부산에 있는 서면역 근처에 괜찮은 숙소 추천해줄 수 있어?,"서면역, 부산",2
주안역 근처에 머물 만한 숙소가 있을까요? 문학경기장도 가까우면 좋겠어요.,"주안역, 문학경기장",2
해운대 근처에 있는 이기대에서 가까운 숙소 추천해 줄 수 있어?,"해운대, 이기대",2
광주에 있는 송정역 근처에 추천할 만한 숙소가 있을까요?,"광주, 송정역",2
대구에 있는 약령시 근처에 묵기 좋은 숙소가 있을까요?,"약령시, 대구",2
광안리해수욕장 근처에 있는 숙소 중에서 벡스코와도 가까운 곳 추천해줄 수 있어?,"광안리해수욕장, 벡스코",2
부산 초량동 근처에 좋은 숙소 추천해줄 수 있어?,"부산, 초량동",2
대구 남구에 있는 해너미 주변에 좋은 숙소 추천해줄 수 있어?,"해너미, 남구",2
자갈치역과 남포역 근처에 괜찮은 숙소가 있을까요?,"자갈치역, 남포역",2
송도나 을숙도 근처에 괜찮은 숙소 추천해 주실 수 있나요?,"송도, 을숙도",2
호구포역이랑 남동구 근처에 좋은 숙소 추천해줄 수 있어?,"호구포역, 남동구",2
광주 우산동 근처에 머물기 좋은 숙소가 있을까요?,"우산동, 광주",2
광주에 있는 충장로 근처에서 머물기 좋은 숙소 추천해줄 수 있어?,"충장로, 광주",2
"영종도에서 구읍뱃터와 가까운 숙소를 찾고 있는데, 추천해 주실 만한 곳 있나요?","영종도, 구읍뱃터",2
대구에서 약령시 근처에 머물만한 숙소를 추천해 줄 수 있어?,"대구, 약령시",2
중구 남포동에 있는 숙소 중에 추천해줄 만한 곳 있어?,"중구, 남포동",2
광주에 있는 송정리역 근처에 괜찮은 숙소 추천해줄 수 있어?,"광주, 송정리역",2
부산에 있는 해운대 주변으로 좋은 숙소 추천해 줄 수 있어?,"부산, 해운대",2
부산에서 조선 호텔 근처에 좋은 숙소 추천해 줄 수 있어?,"조선, 부산",2
부산에 있는 송정해수욕장 근처에 숙소 추천해 줄 수 있어?,"송정해수욕장, 부산",2
인천 송도에 위치한 추천할 만한 숙소가 있을까요?,"인천, 송도",2
신세계와 벡스코 근처에 좋은 숙소 있나요?,"신세계, 벡스코",2
광주에 있는 금남로 주변에 숙박하기 좋은 곳 추천해 줄 수 있어?,"광주, 금남로",2
조선 시대의 역사를 느낄 수 있는 경주 근처에 추천할 만한 숙소가 있을까요?,"조선, 경주",2
"무의도 여행을 계획 중인데, 실미도 가까이에 있는 괜찮은 숙소 추천해줄 수 있어?","무의도, 실미도",2
"광주와 시드니 두 도시 모두 여행할 계획인데, 광주에서 괜찮은 숙소 추천해 줄 수 있어?","광주, 시드니",2
대구 범어동 근처에 추천할 만한 숙소가 있을까요?,"대구, 범어동",2
조선시대의 분위기를 느낄 수 있는 서문시장 근처에 머물만한 숙소가 있을까요?,"조선시대, 서문시장",2
광주에서 충장로 근처에 위치한 좋은 숙소 추천해줄 수 있어?,"광주, 충장로",2
부산진구에서 서면역 근처에 괜찮은 숙소 추천해줄 수 있어?,"부산진구, 서면역",2
남포에서 자갈치역 가까운 숙소 추천해줄 수 있어?,"남포, 자갈치역",2
구읍뱃터와 영종하늘도시 주변에 좋은 숙소 추천해줄 수 있어?,"구읍뱃터, 영종하늘도시",2
아리조나주 피닉스 근처에 머물기 좋은 숙소 추천해 줄 수 있어?,"아리조나주, 피닉스",2
부산에서 서면역 근처에 좋은 숙소 추천해 줄 수 있어?,"부산, 서면역",2
인천에 있는 예술회관역 근처에 괜찮은 숙소 추천해 줄 수 있어?,"인천, 예술회관역",2
부산관광공사가 추천하는 센텀시티 주변의 숙소는 어떤 곳들이 있나요?,"부산관광공사, 센텀시티",2
수도권에서 장봉도 근처에 좋은 숙소 추천해줄 수 있어?,"장봉도, 수도권",2
인천에서 웅진 근처에 괜찮은 숙소 추천해 줄 수 있어?,"인천, 웅진",2
인천에서 한국적인 분위기를 느낄 수 있는 숙소 추천해 줄 수 있어?,"인천, 한국",2
"월미도 여행을 계획 중인데, 월미산 근처에 괜찮은 숙소 추천해 줄 수 있을까요?","월미도, 월미산",2
"인천 여행 중인데, 실미도 근처에 괜찮은 숙소 추천해 줄 수 있어?","인천, 실미도",2
"부산광역시 수영구에서 좋은 숙소를 찾고 있는데, 추천해 주실 만한 곳이 있을까요?","수영구, 부산광역시",2
군위군에 있는 화본역 근처에 머물기 좋은 숙소가 있을까요?,"화본역, 군위군",2
"비슬산 근처 달성군에서 괜찮은 숙소를 찾고 있는데, 추천해주실 곳 있나요?","비슬산, 달성군",2
부산 해운대구에서 머물기 좋은 숙소 추천해 줄 수 있어?,"부산, 해운대구",2
이순신장군과 관련된 조선 시대 유적지 근처에 머물기 좋은 숙소가 있을까요?,"이순신장군, 조선",2
아쿠아리움과 광안대교 근처에 좋은 숙소 추천해 줄 수 있어?,"아쿠아리움, 광안대교",2
호남 지역에서 계림동 근처에 머물기 좋은 숙소가 있을까요?,"계림동, 호남",2
"부산 여행 중인데, 낙동강 근처에 추천할 만한 숙소가 있을까요?","낙동강, 부산",2
해운대에 있는 윈덤 호텔 괜찮은가요?,"해운대, 윈덤",2
대전에서 월평역 근처에 괜찮은 숙소 추천해 줄 수 있어?,"대전, 월평역",2
부산의 남항대교 주변에 있는 윈덤 호텔에 대해 아는 사람 있나요? 숙박해볼 만한 곳인지 궁금해요.,"남항대교, 윈덤",2
영종도에 있는 실미도 근처에 좋은 숙소 추천해줄 수 있어?,"영종도, 실미도",2
대구시 동문동 근처에 추천할 만한 숙소가 있을까요?,"동문동, 대구시",2
간월산 근처에서 간월루도 쉽게 갈 수 있는 좋은 숙소가 있을까요?,"간월산, 간월루",2
동래에 있는 동래읍성 근처에 괜찮은 숙소 추천해 줄 수 있어?,"동래, 동래읍성",2
서면역 근처에 괜찮은 숙소 있을까요? 서면에서 머물려고 해요.,"서면, 서면역",2
인천에서 주안역 근처에 괜찮은 숙소 추천해 줄 수 있어?,"주안역, 인천",2
대전에서 금강 근처에 좋은 숙소 추천해줄 수 있어?,"대전, 금강",2
대구 달서구 대곡동에서 좋은 숙소 추천해 줄 수 있어?,"달서구, 대곡동",2
부산 광복동 주변에 추천할 만한 숙소가 있을까요?,"부산, 광복동",2
강화도에서 석모도 주변에 머물기 좋은 숙소 추천해 줄 수 있어?,"석모도, 강화도",2
청라에 있는 아라뱃길 근처에 괜찮은 숙소 추천해줄 수 있어?,"청라, 아라뱃길",2
강화도에서 서해를 가까이에서 즐길 수 있는 숙소가 있을까요?,"서해, 강화도",2
영산강 근처에서 북구에 위치한 좋은 숙소를 추천해줄 수 있어?,"영산강, 북구",2
"인천 여행 중인데, 무의도 근처에 괜찮은 숙소 있을까요?","인천, 무의도",2
남포동에서 자갈치시장 가까운 숙소 추천해 줄 수 있어?,"남포동, 자갈치시장",2
영흥도 영흥면 근처에 좋은 숙소 추천해 줄 수 있어?,"영흥도, 영흥면",2
대구 비행장 근처에 좋은 숙소 추천해줄 수 있어?,"대구, 비행장",2
대구광역시에서 머물만한 숙소가 있을까요? 대구 시내 중심에 있으면 좋겠어요.,"대구, 대구광역시",2
"송도 여행 중인데, 인천에서 괜찮은 숙소를 찾을 수 있을까요?","송도, 인천",2
"부산 여행 중인데, 태종대 근처에 괜찮은 숙소 추천해줄 수 있어?","부산, 태종대",2
인천에 있는 서해안 근처에 좋은 숙소 추천해 줄 수 있어?,"인천, 서해안",2
영종도에서 스트란트 근처에 좋은 숙소 추천해줄 수 있어?,"스트란트, 영종도",2
광주 상무지구 주변에 좋은 숙소 추천해줄 수 있어?,"상무지구, 광주",2
월미산 근처에서 서해 바다를 한눈에 볼 수 있는 숙소가 있을까요?,"월미산, 서해",2
팔공산 근처에 있는 봉무동에서 괜찮은 숙소를 추천해줄 수 있어?,"팔공산, 봉무동",2
인천광역시 중구에 있는 숙소 중 추천할 만한 곳이 있을까요?,"인천광역시, 중구",2
"광주에 가려고 하는데, 혹시 광산구 근처에 좋은 숙소 추천해 줄 수 있어?","광주, 광산구",2
부산에서 영도대교랑 자갈치시장 둘 다 가까운 숙소 추천해 줄 수 있어?,"영도대교, 자갈치시장",2
대구 동구 쪽에 괜찮은 숙소 추천해 주실 수 있나요?,"대구, 동구",2
부산에 있는 다대포해수욕장 근처에 머물기 좋은 숙소가 있을까요?,"다대포해수욕장, 부산",2
부산 서면 근처에 머물기 좋은 숙소가 있을까요?,"서면, 부산",2
"부산 여행 중인데, 범어사 근처에 좋은 숙소 추천해줄 수 있어?","부산, 범어사",2
"광주에 가려고 하는데, 상무역 근처에 좋은 숙소 있을까요?","광주, 상무역",2
부산 연제구에서 머물기 좋은 숙소 추천해 줄 수 있어?,"부산, 연제구",2
대전광역시 관평동 근처에 좋은 숙소 추천해줄 수 있어?,"관평동, 대전광역시",2
수도권에서 중구 쪽에 위치한 좋은 숙소 추천해 줄 수 있어?,"수도권, 중구",2
시도와 장봉도 근처에 괜찮은 숙소가 있을까요?,"시도, 장봉도",2
부산 중구 중앙동 쪽에 괜찮은 숙소 있을까요?,"부산, 중앙동, 중구",3
대전에서 신탄진역 근처에 있는 금강 전망 좋은 숙소 추천해 줄 수 있어?,"신탄진역, 금강, 대전",3
"부산에 여행 가는데, 구서역이나 범어사 근처에 좋은 숙소 추천해줄 수 있어?","구서역, 범어사, 부산",3
인천에서 주안역이나 문학경기장 근처에 괜찮은 숙소가 있을까요?,"주안역, 문학경기장, 인천",3
인천에 있는 인천공항 근처에서 묵을 만한 좋은 숙소를 추천해 줄 수 있어? 한국 여행 일정 중에 편하게 머물 곳을 찾고 있어.,"인천, 인천공항, 한국",3
울산 동구 쪽에서 일산동 근처에 있는 괜찮은 숙소 추천해줄 수 있어?,"울산, 일산동, 동구",3
부산 해운대에 있는 윈덤 호텔 근처에 괜찮은 숙소 추천해 줄 수 있어?,"해운대, 윈덤, 부산",3
영흥도에 있는 영흥면 근처 숙소 중 인천에서 접근하기 좋은 곳이 어디 있을까요?,"영흥도, 영흥면, 인천",3
대구에서 약령시와 서문시장 주변에 괜찮은 숙소 추천해 줄 수 있어?,"대구, 약령시, 서문시장",3
인천에서 무의도와 소래포구에 가까운 숙소 추천해줄 수 있어?,"인천, 무의도, 소래포구",3
"부산에서 태종대에 가려는데, 동구 쪽에 괜찮은 숙소 있을까요?","부산, 태종대, 동구",3
인천에서 영종도나 서해를 쉽게 즐길 수 있는 숙소가 있을까요?,"인천, 영종도, 서해",3
부산 초량동에 있는 초량역 근처 숙소 추천해 줄 수 있어?,"부산, 초량동, 초량역",3
대구에서 팔공산 비로봉 근처에 머물만한 숙소 추천해줄 수 있어?,"팔공산, 비로봉, 대구",3
부평에서 자갈치역이나 자갈치시장 가까이에 좋은 숙소가 있을까요?,"부평, 자갈치역, 자갈치시장",3
부평구 십정동에 있는 동암역 근처에 괜찮은 숙소가 있을까요?,"십정동, 부평구, 동암역",3
자갈치역과 남포역 사이 남포동에 위치한 숙소 중에서 추천할 만한 곳 있을까요?,"자갈치역, 남포역, 남포동",3
"중국, 영국, 독일 세 나라에서 온 관광객들이 머물기 좋은 숙소가 근처에 있을까요?","중국, 영국, 독일",3
부산에서 광복동이나 영도대교 근처에 있는 괜찮은 숙소 추천해 줄 수 있어?,"부산, 광복동, 영도대교",3
"서울에서 강화도 여행을 계획 중인데, 초지대교 근처에 좋은 숙소 추천해줄 수 있어?","초지대교, 강화도, 서울",3
수도권의 인천 중구 쪽에 괜찮은 숙소 추천해줄 수 있어?,"수도권, 중구, 인천",3
인천 지역에서 웅진과 경인 근처에 있는 괜찮은 숙소를 추천해 줄 수 있어?,"인천, 웅진, 경인",3
해운대해수욕장 근처에 위치하고 부산지하철로 접근하기 쉬운 해운대 지역의 숙소 추천해줄 수 있어?,"해운대, 부산지하철, 해운대해수욕장",3
"인천에서 공항철도를 이용할 계획인데, 운서역 근처에 괜찮은 숙소 있을까요?","공항철도, 운서역, 인천",3
송도에서 청량산과 송도유원지를 편하게 방문할 수 있는 숙소가 있을까요?,"송도, 청량산, 송도유원지",3
"대구광역시 동성로에서 시간을 보내고 싶은데, 동인동 근처에 좋은 숙소 있을까요?","동인동, 대구광역시, 동성로",3
대구시 동문동과 동성로 근처에 좋은 숙소 추천해 줄 수 있어?,"동문동, 대구시, 동성로",3
인천에서 예술회관역 근처 구월동에 위치한 좋은 숙소 추천해줄 수 있어?,"인천, 예술회관역, 구월동",3
부산 중구의 남포동에서 머물기 좋은 숙소 추천해 줄 수 있어?,"중구, 남포동, 부산",3
송도와 을숙도 주변에서 오륙도까지 쉽게 갈 수 있는 숙소가 있을까요?,"송도, 을숙도, 오륙도",3
"부산 여행 중인데, 기장과 센텀시티 근처에 좋은 숙소 추천해줄 수 있어?","부산, 기장, 센텀시티",3
용유도나 영종도 주변에 있는 숙소 중에서 월미도까지 가기 편리한 곳이 있을까요?,"용유도, 영종도, 월미도",3
부산에서 벡스코와 해운대 사이에 있는 좋은 숙소 추천해 줄 수 있어?,"벡스코, 해운대, 부산",3
"광주에서 상무지구나 송정역 근처에 괜찮은 숙소를 찾고 있는데, 추천해 주실 수 있나요?","광주, 상무지구, 송정역",3
조선 호텔 근처에 시몬스 침대가 있는 아리아 객실을 제공하는 숙소가 있을까요?,"조선, 시몬스, 아리아",3
인천광역시 석모도에 있는 보문사 근처에 추천할 만한 숙소가 있을까요?,"보문사, 인천광역시, 석모도",3
인천 송도에 있는 롯데 근처에 좋은 숙소가 있을까요?,"인천, 송도, 롯데",3
해운대나 해운대역 근처에 괜찮은 숙소 있을까요? 부산 여행을 계획 중이라서요.,"해운대, 해운대역, 부산",3
"인천에서 송도에 머물 계획인데, 교통 커넥션이 좋은 숙소 추천해 줄 수 있어?","송도, 인천, 커넥션",3
"해운대에 가려고 하는데, 혹시 신세계 센텀시티 근처에 좋은 숙소 추천해줄 수 있어?","해운대, 센텀시티, 신세계",3
"시도와 장봉도, 그리고 신도 근처에 있는 숙소 중에서 추천해주실 만한 곳이 있을까요?","시도, 장봉도, 신도",3
"영종도에서 머물 계획인데, 구읍뱃터와 월미도 가까이에 괜찮은 숙소 있을까?","영종도, 구읍뱃터, 월미도",3
인천 송도에 가면 서해안 근처에 좋은 숙소가 있을까요?,"송도, 인천, 서해안",3
경주에서 조선 시대의 분위기를 느낄 수 있는 최흥원과 가까운 숙소를 추천받을 수 있을까요?,"조선, 경주, 최흥원",3
대구에서 성서산업단지역과 와룡산 근처에 좋은 숙소 있을까요?,"대구, 성서산업단지역, 와룡산",3
대전에서 금강과 갑천 근처에 위치한 좋은 숙소가 있을까요?,"대전, 금강, 갑천",3
울산 남구에 있는 중앙시장 근처에 추천할 만한 숙소가 있을까요?,"울산, 중앙시장, 남구",3
"인천 여행 중인데, 실미도와 석모도 근처에 좋은 숙소 추천해줄 수 있어?","인천, 실미도, 석모도",3
광안리해수욕장 근처에 머물만한 숙소가 있을까요? 벡스코와 해운대도 쉽게 갈 수 있으면 좋겠어요.,"광안리해수욕장, 벡스코, 해운대",3
"부산 여행을 계획 중인데, 혹시 범내골역이나 범천동 근처에 괜찮은 숙소 추천해줄 수 있어?","부산, 범내골역, 범천동",3
광주시 광산구에 있는 우산동 근처에 괜찮은 숙소 추천해 줄 수 있어?,"우산동, 광주시, 광산구",3
정관 지역에서 장안사와 임랑해수욕장 둘 다 쉽게 방문할 수 있는 숙소가 있을까요?,"장안사, 임랑해수욕장, 정관",3
강화도에 있는 숙소 중에 남산을 쉽게 갈 수 있는 곳이 있을까요? 한국 여행 중이라 편리한 위치를 찾고 있어요.,"강화도, 남산, 한국",3
월미도와 월미산 주변에서 연인이 머물기 좋은 숙소 추천해줄 수 있어?,"월미도, 월미산, 연인",3
부산 서면에 있는 밀리오레 주변에 괜찮은 숙소를 추천해 줄 수 있어?,"서면, 부산, 밀리오레",3
강화도 내가면 쪽에 강화군에서 괜찮은 숙소 추천해줄 수 있어?,"내가면, 강화군, 강화도",3
부산에서 남포랑 북항대교 근처에 괜찮은 숙소 있을까요?,"부산, 남포, 북항대교",3
부산에서 자갈치시장과 가까운 영도대교 주변에 좋은 숙소가 있을까요?,"영도대교, 자갈치시장, 부산",3
부산에 있는 광안대교 근처에서 묵을 만한 숙소를 한국에서 추천받을 수 있을까요?,"광안대교, 한국, 부산",3
대전 시청역 근처에 있는 둔산동에서 머물기 좋은 숙소가 있을까요?,"둔산동, 시청역, 대전",3
부산 서면에 있는 롯데 근처에 좋은 숙소 추천해줄 수 있어?,"서면, 부산, 롯데",3
"신불산과 통도사를 방문할 예정인데, 울주군 근처에 괜찮은 숙소 추천해줄 수 있어?","신불산, 울주군, 통도사",3
남포에서 자갈치역과 남포역 사이에 위치한 괜찮은 숙소를 추천해줄 수 있어?,"남포, 자갈치역, 남포역",3
수도권에서 장봉도나 석모도 근처에 머무를 만한 숙소 추천해줄 수 있어?,"장봉도, 수도권, 석모도",3
대구에서 국채보상로와 서문시장 가까운 쪽에 좋은 숙소 추천해 줄 수 있어?,"국채보상로, 서문시장, 대구",3
대구광역시 달서구의 대곡동 주변에 숙소 추천해 주실 수 있나요?,"달서구, 대곡동, 대구광역시",3
백령도 진촌리에서 연인과 함께 머물기 좋은 숙소가 있을까요?,"백령도, 진촌리, 연인",3
인천 남동구에 있는 호구포역 근처에 괜찮은 숙소 추천해줄 수 있어?,"호구포역, 남동구, 인천",3
울산에 있는 롯데호텔 주변에 러시아 분위기를 느낄 수 있는 숙소가 있을까요?,"롯데, 울산, 러시아",3
광주에 있는 호남 지역 중 상무지구 근처에 머물기 좋은 숙소가 있을까요?,"광주, 호남, 상무지구",3
"부산 여행을 계획 중인데, 광복동이나 남포동 근처에 있는 괜찮은 숙소 추천해 줄 수 있어?","부산, 광복동, 남포동",3
부산에서 해운대나 광안대교 근처에 좋은 숙소 추천해줄 수 있어?,"부산, 해운대, 광안대교",3
인천 차이나타운 근처에서 머물만한 숙소가 있을까요? 인천공항과도 가까우면 좋겠어요.,"차이나타운, 인천, 인천공항",3
부산에서 부산지하철 타고 자갈치역 근처에 머물기 좋은 숙소 어디 있을까요?,"자갈치역, 부산지하철, 부산",3
경상북도에서 군위군 근처에 있는 괜찮은 숙소를 추천해줄 수 있어? 경북 지역에 갈 예정이거든.,"경상북도, 군위군, 경북",3
대전광역시에서 갑천과 봉명동 근처에 좋은 숙소 있을까요?,"대전광역시, 갑천, 봉명동",3
인천에서 간석오거리역과 문학경기장 근처에 머물기 좋은 숙소가 있을까요?,"인천, 간석오거리역, 문학경기장",3
서면 근처에 있는 롯데와 서면역 주변으로 괜찮은 숙소 추천해줄 수 있어?,"서면, 서면역, 롯데",3
인천 연수구에 있는 송도 주변에 머물기 좋은 숙소 추천해 줄 수 있어?,"인천, 송도, 연수구",3
