숙소명,고유명사_TFIDF
호텔더마크해운대,"{'부산': 0.119, '해운대': 0.233, '해운대해수욕장': 0.26, '벡스코': 0.117, '동백섬': 0.126}"
썬클라우드호텔,"{'부산': 0.081, '동백섬': 0.172, '해운대': 0.423, '해운대해수욕장': 0.177}"
부산해군회관,"{'오륙도': 0.315, '이기대': 0.173, '용호동': 0.185}"
브라운도트호텔 서면범천점,"{'서면': 0.496, '부산': 0.132}"
브라운도트호텔 송정점,"{'동해': 0.197, '송정역': 0.171, '송정해수욕장': 0.41}"
제이비디자인호텔,"{'신세계': 0.127, '달맞이고개': 0.164, '벡스코': 0.121, '해운대': 0.322}"
윈덤 그랜드 부산,"{'남항대교': 0.249, '부산': 0.202, '윈덤': 0.227}"
호텔 아쿠아펠리스,"{'광안대교': 0.395, '부산': 0.062, '한국': 0.104}"
호메르스호텔,"{'광안대교': 0.117, '아쿠아리움': 0.121, '해운대': 0.072}"
토요코인호텔 (부산역2점),"{'중국': 0.107, '한국': 0.076, '독일': 0.103, '영국': 0.107, '부산': 0.091, '미국': 0.094, '일본': 0.103}"
더엠모텔,"{'수영구': 0.182, '부산광역시': 0.182}"
토요코인호텔 (부산역1점),"{'중국': 0.117, '한국': 0.083, '독일': 0.113, '영국': 0.117, '부산': 0.15, '미국': 0.103, '일본': 0.113}"
선셋호텔[한국관광 품질인증/Korea Quality],"{'부산': 0.137, '해운대': 0.356}"
부산 비치 관광호텔,"{'남포동': 0.148, '송도': 0.124, '부산': 0.392, '광복동': 0.194, '자갈치시장': 0.142}"
홀리데이 인 광주 호텔,"{'광주': 0.165, '모래시계': 0.157}"
금수장관광호텔,"{'호남': 0.166, '광주': 0.109, '동구': 0.154, '계림동': 0.208}"
애플모텔,"{'광주': 0.502, '쌍촌동': 0.318}"
에덴모텔,"{'광주': 0.683, '신세계': 0.112, '북구': 0.123, '서구': 0.119, '광천동': 0.144}"
파레스관광호텔,"{'광주': 0.253, '금남로': 0.225, '충장로': 0.178}"
무등파크호텔,"{'호남': 0.066, '광주': 0.13, '한국': 0.052, '무등산': 0.211}"
센트럴관광호텔,"{'호남': 0.11, '광주': 0.218, '상무지구': 0.105}"
마스터스관광호텔,{'독일': 0.132}
싼타모관광호텔,"{'송정리역': 0.158, '광주': 0.25, '광산구': 0.141, '평동공단': 0.158}"
호텔 5월 (Hotel The May),"{'광주': 0.226, '송정역': 0.159, '상무지구': 0.163, '운천역': 0.215, '서구': 0.177}"
오아시타 호스텔,"{'조선': 0.15, '광주': 0.395, '송정역': 0.139, '충장로': 0.139, '동명동': 0.176}"
다솜채,"{'광주': 0.108, '송정역': 0.152, '송정동': 0.205}"
호텔여기어때 광주백운점,{'광주': 0.284}
호텔여기어때 광주충장로점,"{'광주': 0.458, '충장로': 0.645}"
호텔여기어때 광주역점,"{'광주': 0.53, '북구': 0.43}"
두바이호텔,"{'광주': 0.445, '송정역': 0.157, '미국': 0.164}"
볼튼호텔,"{'광주': 0.456, '송정역': 0.161, '상무역': 0.217}"
호텔더스팟[한국관광 품질인증/Korea Quality],"{'광주': 0.126, '영산강': 0.239, '북구': 0.204}"
HOTEL B,"{'광주': 0.442, '상무지구': 0.318, '송정역': 0.156}"
광주 아우라호텔,{'광주': 0.287}
유)한성 마드리드 광주호텔,"{'광주': 0.323, '상무지구': 0.155, '송정역': 0.151}"
탑클라우드호텔(광주점),{'광주': 0.319}
노블 스테이 (Noble Stay),"{'광주': 0.312, '광산구': 0.263}"
광주 아우라 비즈니스 호텔,"{'광주': 0.403, '송정역': 0.189}"
여로(산수동 한옥체험시설),"{'광주': 0.097, '동구': 0.136, '산수동': 0.184}"
이끌림 비지니스호텔 하남,"{'광주시': 0.163, '한국': 0.115, '우산동': 0.172, '광산구': 0.163, '연인': 0.119}"
유탑부티크호텔앤레지던스,"{'광주시': 0.158, '상무지구': 0.135, '이마트': 0.166, '서구': 0.146, '시청로': 0.178}"
베스트세븐 호텔,"{'우산동': 0.328, '광주': 0.185}"
골드브라운호텔,"{'광주': 0.23, '동명동': 0.204, '충장로': 0.162}"
충장로 브라운도트호텔 충장점,"{'광주': 0.142, '충장로': 0.399}"
호텔반트,"{'광주': 0.117, '충장로': 0.165}"
호텔얌 광주구시청점,"{'광주': 0.185, '충장로': 0.131}"
일번지 호텔 충장로점,"{'광주': 0.214, '충장로': 0.302}"
체리모텔,"{'광주': 0.122, '상무지구': 0.175}"
라마다플라자 충장호텔,"{'광주': 0.19, '무등산': 0.307, '윈덤': 0.154}"
김냇과,"{'광주': 0.221, '동구': 0.312}"
그라운드4,"{'광주': 0.375, '금남로': 0.167, '무등산': 0.152, '충장로': 0.132}"
비지니스호텔듀,{'광주': 0.33}
노블레스호텔,"{'광주': 0.352, '상무지구': 0.169, '광주시': 0.199, '무등산': 0.19}"
라마다프라자 광주호텔,"{'호남': 0.068, '광주': 0.356, '상무지구': 0.064, '시드니': 0.085, '미국': 0.066, '일본': 0.072}"
팔공산온천관광호텔,"{'대구': 0.077, '팔공산': 0.658, '비로봉': 0.141}"
호텔인터불고 엑스코,"{'엑스코': 0.528, '대구': 0.23}"
창앤영펜션,{'비슬산': 0.471}
호텔여기어때 서대구점,"{'대구': 0.192, '서구': 0.291}"
대구그랜드호텔,"{'대구': 0.209, '경북': 0.114, '범어동': 0.128, '수성구': 0.114}"
유니온관광호텔,"{'서문시장': 0.092, '동성로': 0.09, '동대구역': 0.09, '대구': 0.129, '약령시': 0.105, '비행장': 0.119}"
호텔인터불고 대구,"{'대구': 0.332, '한국': 0.128}"
엘디스 리젠트 호텔,"{'대구': 0.212, '약령시': 0.086, '롯데': 0.064, '서문시장': 0.076}"
AW호텔,"{'대구': 0.252, '성서산업단지역': 0.232, '와룡산': 0.232}"
앞산비즈니스호텔,"{'대구': 0.148, '남구': 0.231, '해너미': 0.271, '대구광역시': 0.206}"
호텔 투하트,{'동대구역': 0.283}
호텔에이치,"{'대구': 0.531, '대구광역시': 0.185, '동대구역': 0.185}"
호텔아시아,"{'대구': 0.104, '대구광역시': 0.145, '동대구역': 0.29}"
이시아호텔,"{'팔공산': 0.342, '봉무동': 0.183, '롯데': 0.12}"
에오스,"{'대구': 0.3, '대구광역시': 0.209, '동성로': 0.209}"
호텔 아리아나,{'대구': 0.207}
호텔 라온제나,{'대구': 0.118}
퀸벨호텔,"{'대구': 0.262, '동구': 0.178}"
The house of Gallery(The house of gallery),"{'대구': 0.214, '동성로': 0.149, '서문시장': 0.153, '동대구역': 0.149}"
서문한옥게스트하우스,"{'조선시대': 0.194, '한국': 0.143, '서문시장': 0.177}"
애가Ⅱ,"{'대구': 0.113, '약령시': 0.184}"
(사)영남선비문화수련원(구암서원),"{'대원군': 0.101, '동산동': 0.101, '누학재': 0.101, '대구': 0.165, '달성': 0.09, '북구': 0.086, '숭현사': 0.303, '조선시대': 0.086, '서해': 0.071}"
백불고택,"{'조선': 0.255, '대구시': 0.1, '경주': 0.213, '최흥원': 0.107, '대구': 0.058, '조선시대': 0.091, '옻골': 0.107, '인조': 0.107}"
군위 상매댁(군위남천고택),"{'조선': 0.063, '경상북도': 0.079, '경북': 0.07, '신라': 0.07, '군위군': 0.074}"
공감호스텔 동성로(공감동성로게스트하우스),"{'대구': 0.125, '동성로': 0.349}"
한옥게스트하우스 '安(Ahn)',"{'중구': 0.216, '대구광역시': 0.225, '동인동': 0.298, '동성로': 0.225}"
대구 메리어트 호텔,"{'대구': 0.299, '동대구역': 0.104}"
호텔 노블스테이(노블스테이),"{'대구시': 0.197, '중구': 0.153, '동성로': 0.159, '동문동': 0.21}"
한옥1957,"{'대구': 0.118, '국채보상로': 0.217, '서문시장': 0.168}"
스테이 지안[한국관광 품질인증/Korea Quality],"{'대구': 0.116, '한국': 0.134}"
호텔크라페 성서점[한국관광 품질인증/Korea Quality],{'대구': 0.111}
엘리시아호텔,"{'대구': 0.12, '달서구': 0.22, '대구광역시': 0.167, '대곡동': 0.22}"
호텔 아젤리아,"{'비슬산': 0.501, '암괴류': 0.134, '달성군': 0.268, '대구': 0.073, '달성': 0.119}"
브라운도트 호텔 대구수성점,"{'대구': 0.118, '수성구': 0.192, '황금역': 0.217}"
호텔 피에드 수성,"{'대구': 0.128, '수성구': 0.21}"
호텔포레스트701,"{'대구': 0.109, '동대구역': 0.304}"
자연닮은 치유농장,"{'군위군': 0.152, '화본역': 0.163, '대구광역시': 0.123}"
2월 호텔 더시그니처 동성로점,"{'서문시장': 0.1, '경북': 0.115, '동성로': 0.098, '대구': 0.281, '엑스코': 0.121, '중구': 0.094}"
애가 한옥 게스트하우스,"{'남산역': 0.245, '대구광역시': 0.186}"
스테이 원향,"{'이천동': 0.231, '대구': 0.126, '남구': 0.197}"
대구 수성 더 아르코 호텔 라이온즈파크점,{'대구': 0.416}
히로텔,"{'한국': 0.13, '서문시장': 0.16, '동성로': 0.156, '서울': 0.156, '대구': 0.336, '동대구역': 0.156, '달성': 0.183}"
까펠라 모텔,"{'유성': 0.139, '대전': 0.368, '유성온천': 0.139}"
유성호텔,{'유성': 0.354}
호텔 인터시티,"{'금강': 0.138, '대전': 0.23, '유성온천': 0.13, '유성구': 0.134, '갑천': 0.138, '봉명동': 0.138}"
굿모닝레지던스호텔휴,"{'시청역': 0.22, '대전': 0.341}"
롯데시티호텔 대전,"{'롯데': 0.136, '대전': 0.426}"
디 엠프레스 호텔,"{'월평역': 0.158, '대전': 0.216}"
크리스탈레지던스호텔,{'대전': 0.146}
호텔 더 에이치(Hotel The H),"{'금강': 0.201, '대전': 0.168, '신탄진역': 0.244}"
호텔 오노마 (대전 오토그래프 컬렉션 호텔),"{'신세계': 0.212, '대전': 0.563}"
호텔스카이파크 대전1호점,{'대전': 0.485}
대전라마다호텔,"{'대전광역시': 0.186, '유성온천': 0.17, '유성': 0.17, '유성구': 0.175, '갑천': 0.18, '봉명동': 0.18}"
나봄 S&HOTEL,"{'대전': 0.153, '한국': 0.14, '유성구': 0.178, '관평동': 0.223, '대전광역시': 0.19}"
호텔3월,"{'시청역': 0.215, '대전': 0.166, '둔산동': 0.242, '연인': 0.157}"
스탕달호텔,"{'대전광역시': 0.184, '유성온천': 0.168, '유성': 0.168, '유성구': 0.172, '갑천': 0.178, '봉명동': 0.178}"
자우리호텔,"{'대전광역시': 0.198, '유성온천': 0.181, '유성': 0.181, '유성구': 0.186, '갑천': 0.191, '봉명동': 0.191}"
대전나무호텔,"{'호남': 0.138, '유성온천역': 0.161, '대전': 0.356, '대학로': 0.161, '충남대': 0.173, '유성온천': 0.403, '계룡로': 0.161, '유성': 0.268}"
저스트슬립호텔 유성온천점,"{'호남': 0.134, '유성온천역': 0.157, '대전': 0.347, '대학로': 0.157, '유성온천': 0.392, '계룡로': 0.157, '유성': 0.131, '유성구': 0.134, '갑천': 0.277, '봉명동': 0.139}"
고추잠자리,"{'십정동': 0.225, '동암역': 0.21, '부평구': 0.225, '인천': 0.095}"
강화유스호스텔,{'외포리': 0.122}
인천에어텔,"{'인천공항': 0.099, '인천': 0.225, '한국': 0.084}"
명성리조텔,{'영흥도': 0.192}
호텔부티앤(HOTEL BUTI&),{'인천': 0.241}
호텔 파크우드,"{'중구': 0.215, '인천': 0.126, '인천광역시': 0.253}"
라마다송도호텔,"{'인천': 0.117, '송도': 0.333, '송도국제도시': 0.123, '청량산': 0.139, '송도유원지': 0.139}"
그랜드 하얏트 인천,"{'인천': 0.389, '서해안': 0.147, '무의도': 0.136, '서울': 0.139, '송도국제도시': 0.163, '용유도': 0.172, '연인': 0.119}"
지구하우징,{'인천': 0.167}
해송펜션,{'영흥도': 0.267}
인천공항비치호텔,"{'시도': 0.149, '인천': 0.063, '인천공항': 0.111, '장봉도': 0.14, '무의도': 0.111, '신도': 0.14}"
베스트웨스턴 프리미어 인천 에어포트 호텔,"{'아리조나주': 0.11, '피닉스': 0.11, '인천': 0.047, '미국': 0.086}"
예그리나 호스텔(인천공항 예그리나 호텔),"{'닥교동': 0.445, '영종도': 0.323, '인천': 0.188}"
위너스관광호텔,"{'인천': 0.12, '서해': 0.199}"
호텔 카리스,{'인천': 0.053}
"라르고빌리조트(테라스하우스,하버하우스)",{'강화도': 0.128}
로지호텔,"{'강화도': 0.157, '인천': 0.426, '송도': 0.151, '무의도': 0.187, '소래포구': 0.179, '월미도': 0.168}"
프로방스 호텔,"{'강화도': 0.157, '인천': 0.426, '송도': 0.151, '무의도': 0.187, '소래포구': 0.179, '월미도': 0.168}"
리치호텔,"{'강화도': 0.157, '인천': 0.428, '송도': 0.152, '무의도': 0.187, '소래포구': 0.18, '월미도': 0.168}"
럭셔리 G 모텔,{'인천': 0.169}
보보스모텔,"{'강화도': 0.155, '인천': 0.423, '송도': 0.15, '무의도': 0.185, '소래포구': 0.178, '월미도': 0.166}"
오슬로 무인텔,"{'강화도': 0.152, '인천': 0.415, '송도': 0.147, '무의도': 0.182, '소래포구': 0.175, '월미도': 0.163}"
호텔아마레,{'송도': 0.132}
호텔여행(구 엠버호텔),"{'월미도': 0.245, '주안역': 0.344, '인천': 0.311}"
모텔 마리나,"{'영흥면': 0.262, '인천': 0.119, '옹진군': 0.262, '영흥대교': 0.262, '서해': 0.196, '연인': 0.181}"
호텔 휴 로프트,{'인천': 0.1}
별자리 호스텔,"{'중구': 0.137, '인천': 0.08, '수도권': 0.168}"
K-모텔,"{'인천': 0.174, '서해안': 0.164}"
별장아원,"{'강화도': 0.147, '강화군': 0.194, '인천': 0.1, '내가면': 0.236}"
황금노을펜션,{'강화도': 0.139}
베니키아 월미도 더블리스 호텔,"{'인천': 0.15, '월미산': 0.331, '월미도': 0.235, '서해': 0.247, '연인': 0.229}"
리츠모텔,"{'강화도': 0.125, '석모도': 0.165, '인천': 0.254, '무의도': 0.148, '실미도': 0.178, '소래포구': 0.143}"
호텔미투,"{'인천': 0.305, '인천공항': 0.133, '연수구': 0.168, '송도': 0.216, '소래포구': 0.128, '능허대지': 0.18, '월미도': 0.12, '차이나타운': 0.32, '연인': 0.116}"
오크우드 프리미어 인천,"{'송도': 0.197, '인천': 0.277, '롯데': 0.072}"
이코노미호텔 인천부평점,"{'갈산역': 0.205, '인천': 0.174}"
필모텔,"{'웅진': 0.205, '강화도': 0.127, '인천': 0.346, '서해안': 0.163, '경인': 0.205, '동암역': 0.191, '서울': 0.155, '부평': 0.182}"
장보고한옥펜션,"{'송해면': 0.119, '인천': 0.054, '강화군': 0.105, '백련사': 0.127, '하점면': 0.127}"
홀리데이인 인천 송도,"{'인천': 0.252, '센트럴파크역': 0.099, '서해안': 0.159, '인천공항': 0.074, '송도': 0.418, '서울': 0.075, '연인': 0.064}"
W호텔,{'인천': 0.14}
옛날에금잔디,{'강화도': 0.125}
경원재 앰배서더 인천,"{'송도': 0.082, '인천': 0.231}"
인천스테이호텔,"{'송도': 0.271, '인천': 0.383}"
큰나무펜션,"{'대부도': 0.133, '대이작도': 0.284, '인천': 0.06, '서해': 0.099}"
강화평화빌리지,"{'송해면': 0.169, '강화도': 0.113, '강화군': 0.149, '숭뢰리': 0.181}"
월미도 다이아몬드호텔,"{'차이나타운': 0.26, '인천': 0.247}"
구월호텔,"{'구월동': 0.257, '인천': 0.465, '남동구': 0.257, '예술회관역': 0.257}"
오후엔,"{'강화도': 0.139, '석모도': 0.184, '서해안': 0.178, '장봉도': 0.208, '수도권': 0.198}"
노을내리는아름다운집,"{'강화도': 0.124, '석모도': 0.328}"
"라르고빌리조트(웨이브하우스, 가든하우스)","{'강화도': 0.141, '서해': 0.159}"
데이즈호텔 앤 스위트 인천에어포트,"{'공항철도': 0.219, '인천': 0.099, '운서역': 0.219}"
하워드 존슨 인천 에어포트,"{'영종도': 0.164, '인천': 0.288}"
네이쳐펜션(자연의집),"{'송도': 0.118, '영흥도': 0.314, '영흥면': 0.184, '인천': 0.166}"
한가라지 농원,{'석모도': 0.201}
지엘시티 호텔[한국관광 품질인증/Korea Quality],"{'영종도': 0.132, '인천': 0.077}"
월미도 해월관광호텔,"{'월미도': 0.262, '월미산': 0.184, '연인': 0.127}"
파크마린호텔,{'인천': 0.089}
섬뜰아래 호스텔(섬뜰아래 카페/캠핑장/펜션),"{'실미도': 0.186, '송도': 0.125, '인천': 0.088, '무의도': 0.309}"
스위스파크,{'연인': 0.199}
남문한옥 대명헌,"{'강화군': 0.135, '영국': 0.146, '인천': 0.07}"
글로스터호텔 인천,"{'소래포구역': 0.215, '소래포구': 0.328, '인천': 0.195}"
